frame,det_idx,class_id,confidence,x1,y1,x2,y2,latency_ms
0,0,0,0.426337,7.58,288.74,256.06,399.01,98.524
0,1,0,0.362233,2.56,248.29,337.75,371.60,98.524
0,2,0,0.256578,6.15,116.75,246.57,224.72,98.524
1,0,1,0.743569,306.39,0.00,376.67,269.77,97.983
1,1,1,0.348195,323.46,294.66,357.70,362.30,97.983
1,2,1,0.294063,0.20,0.53,77.91,299.16,97.983
2,0,2,0.879194,99.80,0.00,293.70,400.00,86.851
3,0,3,0.770832,1.09,0.00,400.00,400.00,92.526
4,0,4,0.420081,198.55,261.97,330.95,397.23,100.465
4,1,4,0.313485,195.20,0.69,291.87,99.81,100.465
4,2,4,0.261340,61.64,231.66,317.96,399.23,100.465
5,0,5,0.974114,48.88,66.54,131.34,263.01,91.076
5,1,5,0.971954,52.80,7.74,121.50,142.33,91.076
5,2,5,0.965156,153.52,0.00,188.24,390.44,91.076
5,3,5,0.962210,50.97,127.54,140.76,204.43,91.076
5,4,5,0.859163,160.01,2.77,193.49,202.67,91.076
5,5,5,0.853739,47.81,185.97,128.66,298.12,91.076
5,6,5,0.845092,360.17,1.23,397.21,200.69,91.076
5,7,5,0.714309,50.54,240.13,127.19,322.98,91.076
5,8,5,0.612577,53.80,1.19,201.15,110.68,91.076
5,9,5,0.577742,329.53,4.21,394.34,400.00,91.076
5,10,5,0.548538,154.86,190.59,184.31,398.16,91.076
5,11,5,0.386022,56.76,255.84,151.20,389.85,91.076
5,12,5,0.348635,247.49,0.00,399.13,400.00,91.076
5,13,5,0.257715,313.91,71.75,372.26,358.66,91.076
6,0,0,0.654603,1.28,194.37,397.79,288.10,94.020
6,1,0,0.595017,2.81,223.65,397.18,338.43,94.020
6,2,0,0.537815,4.57,290.49,400.00,399.56,94.020
6,3,0,0.488969,0.00,147.88,398.64,256.54,94.020
6,4,0,0.400155,177.97,208.14,399.35,307.63,94.020
6,5,0,0.314808,131.47,252.70,396.39,377.27,94.020
6,6,0,0.250612,0.86,111.54,399.76,213.34,94.020
7,0,1,0.526499,146.23,199.10,243.35,397.90,94.710
7,1,1,0.338009,202.93,180.28,236.92,250.94,94.710
8,0,2,0.630891,246.83,0.00,399.92,294.75,94.038
8,1,2,0.428894,0.00,7.18,126.50,245.55,94.038
9,0,3,0.970253,0.00,0.00,400.00,400.00,93.501
9,1,3,0.367132,0.00,233.58,400.00,400.00,93.501
9,2,3,0.305510,214.91,0.00,400.00,400.00,93.501
10,0,4,0.897656,1.18,0.70,162.52,135.21,77.454
10,1,4,0.368720,300.40,182.82,397.35,392.88,77.454
10,2,4,0.252895,26.36,0.00,179.32,252.73,77.454
11,0,5,0.999689,39.90,19.77,400.00,80.55,92.791
11,1,5,0.991487,146.55,259.03,398.00,307.95,92.791
11,2,5,0.984949,1.23,1.13,246.54,77.35,92.791
11,3,5,0.930321,19.03,251.15,255.74,303.27,92.791
11,4,5,0.917770,0.00,254.62,162.98,293.45,92.791
11,5,5,0.881577,210.73,37.03,400.00,70.68,92.791
11,6,5,0.868810,0.34,30.53,227.59,109.68,92.791
11,7,5,0.705917,89.79,36.68,305.23,73.09,92.791
11,8,5,0.462194,3.86,232.62,386.37,300.49,92.791
11,9,5,0.352467,154.36,0.17,400.00,62.02,92.791
11,10,5,0.262730,0.00,76.02,108.74,109.88,92.791
12,0,0,0.418087,4.03,290.06,280.65,398.97,104.782
12,1,0,0.399055,13.98,139.63,241.95,242.72,104.782
12,2,0,0.357198,2.40,115.61,400.00,248.94,104.782
12,3,0,0.287639,9.60,82.19,261.13,218.20,104.782
12,4,0,0.275074,0.00,344.35,397.81,398.42,104.782
12,5,0,0.267591,15.37,173.58,399.52,301.15,104.782
12,6,0,0.258703,0.00,244.87,399.86,363.40,104.782
13,0,1,0.539717,192.52,18.91,262.42,400.00,105.117
14,0,2,0.533881,145.63,0.00,249.86,125.80,118.146
14,1,0,0.313715,0.00,304.40,400.00,400.00,118.146
15,0,3,0.806032,0.00,44.52,400.00,400.00,110.501
15,1,3,0.579156,0.00,234.39,399.67,399.92,110.501
16,0,4,0.742183,23.08,0.00,224.35,266.56,131.149
16,1,4,0.435719,101.25,80.52,236.50,260.24,131.149
17,0,5,0.860599,205.21,0.00,239.73,400.00,116.199
17,1,5,0.715016,198.31,116.96,234.52,356.96,116.199
17,2,5,0.393830,212.72,0.00,250.01,179.30,116.199
18,0,0,0.580725,96.12,287.24,363.10,399.24,115.178
18,1,0,0.349053,3.55,14.02,320.96,151.51,115.178
18,2,0,0.334493,103.11,51.23,384.81,182.93,115.178
18,3,0,0.275206,5.18,69.08,298.33,193.87,115.178
19,-1,,,,,,,105.491
20,0,2,0.747581,71.91,208.41,243.97,336.70,108.592
20,1,2,0.393338,51.11,89.64,150.84,178.47,108.592
20,2,2,0.382248,1.56,0.00,150.98,176.72,108.592
21,0,3,0.975776,0.00,0.00,400.00,400.00,91.119
21,1,3,0.375598,18.79,244.18,398.45,399.52,91.119
22,0,4,0.799161,283.60,2.16,400.00,147.34,87.432
23,0,5,0.959467,234.01,7.37,294.08,279.50,85.507
23,1,5,0.871759,243.37,4.64,294.01,149.63,85.507
23,2,5,0.781381,38.21,0.00,112.05,384.07,85.507
23,3,5,0.456768,256.52,288.89,291.99,399.72,85.507
23,4,5,0.450419,32.82,100.34,83.46,357.50,85.507
23,5,5,0.252003,56.78,1.42,120.12,184.55,85.507
24,0,0,0.491715,5.22,222.26,396.52,332.03,82.805
24,1,0,0.471758,10.22,288.38,397.38,399.36,82.805
24,2,0,0.371300,153.04,245.31,392.74,355.04,82.805
24,3,0,0.368206,0.31,165.66,399.85,283.67,82.805
24,4,0,0.312160,13.46,128.78,397.64,229.63,82.805
24,5,0,0.300437,175.79,204.51,399.45,313.29,82.805
24,6,0,0.293794,2.43,9.68,205.22,138.55,82.805
25,0,1,0.336466,66.75,0.00,192.21,400.00,84.997
26,0,2,0.873088,0.00,0.00,180.49,394.37,82.289
26,1,2,0.252355,1.24,2.08,177.32,174.37,82.289
27,0,3,0.861896,1.87,0.00,400.00,400.00,91.106
28,0,4,0.462701,33.31,257.11,134.33,400.00,80.880
29,0,5,0.400997,81.74,169.71,208.29,208.94,81.652
29,1,1,0.351007,49.38,160.25,230.53,229.00,81.652
29,2,1,0.272191,335.24,1.18,399.33,372.31,81.652
30,0,0,0.676175,0.00,140.46,400.00,229.19,95.465
30,1,0,0.597837,0.86,290.20,400.00,400.00,95.465
30,2,0,0.501430,7.80,186.67,397.89,313.60,95.465
30,3,0,0.365989,1.03,69.10,400.00,208.73,95.465
30,4,0,0.319617,29.16,237.53,394.30,360.74,95.465
30,5,0,0.307092,9.03,155.70,269.49,278.20,95.465
30,6,0,0.293094,143.48,147.92,400.00,273.57,95.465
31,-1,,,,,,,101.300
32,0,2,0.786423,62.73,2.41,216.53,384.40,83.724
33,0,3,0.921916,0.00,0.00,400.00,400.00,79.561
34,0,4,0.758255,81.66,156.72,330.11,399.72,78.851
34,1,4,0.722676,146.11,1.09,385.56,133.75,78.851
34,2,4,0.595067,216.44,2.04,397.75,225.49,78.851
34,3,4,0.400567,51.35,225.96,239.41,400.00,78.851
34,4,4,0.314682,105.53,2.28,291.05,248.34,78.851
35,0,5,0.788643,252.31,162.96,284.05,376.43,79.865
35,1,5,0.559576,244.83,0.00,292.05,118.31,79.865
35,2,5,0.347907,200.11,0.50,292.39,81.13,79.865
36,0,0,0.581326,143.02,226.79,382.96,334.22,82.601
36,1,0,0.543718,110.06,169.18,390.63,291.60,82.601
36,2,0,0.463895,11.62,122.79,397.05,264.07,82.601
36,3,0,0.341751,157.23,263.31,395.11,397.16,82.601
36,4,0,0.336588,234.60,117.05,398.41,259.13,82.601
36,5,0,0.309461,155.94,97.00,392.38,216.07,82.601
36,6,0,0.280285,5.04,206.05,342.60,325.32,82.601
36,7,0,0.264043,101.79,45.71,397.75,177.64,82.601
